Nome,Endereco,Categoria,Latitude,Longitude,Telefone,Observacao
Prefeitura de Votorantim (Paço Municipal),"Avenida 31 de Março, 327, Centro",Governo,-23.5408591,-47.4468843,,"Sede das secretarias de Administração, Finanças, Governo, Mobilidade Urbana, Negócios Jurídicos, Obras e Urbanismo e Planejamento e Desenvolvimento"
Câmara Municipal de Votorantim,"Boulevard Antônio Festa, 88, Centro",Governo,-23.5403558,-47.4466548,(15) 3353-7300,
VOTOPREV - Fundação da Seguridade Social dos Servidores,"Avenida Philomena Lopes Vasques, 177, Jardim Archila",Governo,,,,[coordenada aproximada/pendente: NAO ENCONTRADO - preencher manualmente]
Secretaria de Cidadania e Geração de Renda,"Avenida Moacir Oséias Guitte, Jardim Paraíso",Governo,,,,[coordenada aproximada/pendente: NAO ENCONTRADO - preencher manualmente]
Secretaria de Cultura e Turismo,"Avenida São João, 649, Jardim Icatu",Governo,-23.5404498,-47.4511201,,
Secretaria de Educação,"Avenida Santo Antônio, 562, Barra Funda",Governo,-23.548615,-47.4340126,,
Secretaria de Esportes,"Rua João Alarcon, 50, Jardim Icatu",Governo,-23.5414319,-47.4453976,,
Secretaria de Meio Ambiente,"Rua Angelo Delapasi, 117, Parque Bela Vista",Governo,-23.5459698,-47.4627163,,
Secretaria de Saúde (sede administrativa),"Rua Pedro Fontes, 550, Rio Acima",Governo,-23.5379984,-47.4359864,,[coordenada aproximada/pendente: baixa (centroide do bairro)]
Secretaria de Serviços Públicos,"Avenida Moacir Oséias Guitte, Centro",Governo,-23.5379719,-47.4471433,,
Centro Cultural Mathias Gianolla,"Boulevard Antônio Festa, 59, Centro",Cultura,-23.5379719,-47.4471433,(15) 3353-8564,[coordenada aproximada/pendente: baixa (centroide do bairro)]
Biblioteca Municipal de Votorantim (posto no Aquário Cultura),"Avenida Moacir Oséias Guitte, 41, Centro",Biblioteca,-23.5400318,-47.4471409,(15) 3353-8669,
Aquário Cultura Claudir Calixto Mainardi,"Avenida Moacir Oséias Guitte, 41, Centro",Cultura,-23.5379719,-47.4471433,(15) 3353-8669,[coordenada aproximada/pendente: baixa (centroide do bairro)]
Museu Histórico de Votorantim,"Rua Joaquim Fogaça, 82, Vila Dominguinho",Cultura,-23.5429002,-47.4384852,(15) 3243-1191,
Auditório Municipal Francisco Beranger,"Avenida Vereador Newton Vieira Soares, 291, Centro",Cultura,-23.5379719,-47.4471433,(15) 3243-0471,[coordenada aproximada/pendente: baixa (centroide do bairro)]
Parque do Matão Jonas Domingues,"Rua Angelo Delapasi, 117, Parque Bela Vista",Lazer,-23.5459698,-47.4627163,(15) 3343-4076,
Parque Ecológico das Aves Jhosely Lopes dos Santos,"Parque Ecológico das Aves, Votorantim",Lazer,,,,[coordenada aproximada/pendente: NAO ENCONTRADO - preencher manualmente]
EMEF Professor Abimael Carlos de Campos,"Avenida Luiz do Patrocínio Fernandes, 631, Dominguinho",Educação,-23.540442,-47.4382732,,
EMEF Professor Antônio Vicente Bernardi,"Rua José Alarcon, 50, Jardim Archila",Educação,,,,[coordenada aproximada/pendente: NAO ENCONTRADO - preencher manualmente]
EMEF Professora Dides Crispim de Almeida Antônio,"Rua Mário Nieri, 144, Vila Garcia",Educação,-23.5302864,-47.4300754,,[coordenada aproximada/pendente: baixa (centroide do bairro)]
EMEF Izabel Ferreira Coelho,"Rua José Gori, 120, Rio Acima",Educação,-23.5359545,-47.4354147,,
EMEF João Ferreira da Silva,"Rua Angelo Bruno, 123, Itapeva",Educação,-23.5636279,-47.4491542,,[coordenada aproximada/pendente: baixa (centroide do bairro)]
EMEF Professor Lauro Alves de Lima,"Rua Caetano Corrêa da Silva, 33, Jardim Serrano",Educação,-23.5598371,-47.4556203,,[coordenada aproximada/pendente: baixa (centroide do bairro)]
EMEF Maria Luiza Jacowicz,"Rua Paschoal Jerônimo Fornazari, 465, Fornazari",Educação,-23.5486668,-47.4224656,,[coordenada aproximada/pendente: baixa (centroide do bairro)]
EMEF Maria do Rosário Arcuri de Oliveira Campos,"Rua Pedro Nunes, 407, Jardim Serrano II",Educação,-23.5643353,-47.4567032,,
EMEF Professora Mercedes Santucci,"Rua Pedro Ferreira de Souza, Novo Mundo",Educação,-23.5399155,-47.5018788,,
EMEF Professor Oscar Bento Mariano,"Rua Anésio Pereira do Nascimento, 123, Jardim Tatiana",Educação,-23.5427934,-47.4910215,,
EMEF Sueli da Silva Paula,"Rua Laila Gallep Sacker, 25, Barra Funda",Educação,-23.5463794,-47.4377553,,[coordenada aproximada/pendente: baixa (centroide do bairro)]
